"peer_type","peer_id","title","is_group","is_channel","is_user","unread_count"
"user","7956086947","×©×•×©\n×›×،×گ×•×ھ","False","False","True","1"
"user","6583452530","Notcoin","False","False","True","0"
"user","7742998547","(no title)","False","False","True","1"
"user","7271606374","×’×¨×¨","False","False","True","1"
"user","7688585307","×¦×—×™","False","False","True","1"
"user","1312214920","(no title)","False","False","True","12"
"user","7629079851","×گ×ھ×™","False","False","True","1"
"user","7886994974","(no title)","False","False","True","1"
"user","7961842850","×گ×œ×” ×گ×‘×گ","False","False","True","1"
"user","7932065553","×¤×™×ک×¨","False","False","True","1"
"user","7045682850","(no title)","False","False","True","2"
"user","8140798987","×‍×•×ک×™","False","False","True","0"
"user","7862020294","×™×¢×œ","False","False","True","1"
"user","480100522","×–×”×¨","False","False","True","0"
"user","7641913648","×‍ض·×–ض¼ض¸×œ ×ک×•ض¹×‘ × ض´×¦ض¼ض·×—ض°×ھض¼ض´×™ ×•ض·×گض²× ض·×¦ض¼ضµ×—ض·","False","False","True","1"
"user","510812668","Menu Builder Help","False","False","True","0"
"user","576184323","Menu Builder Bot","False","False","True","0"
"user","7741155797","(no title)","False","False","True","0"
"user","6725798959","(no title)","False","False","True","0"
"user","140953214","Shugi","False","False","True","0"
"user","7099906947","×™×•× ×ھ×ں","False","False","True","1"
"channel","2221796940","×،×™×’× ×œ×™×‌ ×•×گ×™×ھ×•×ھ×™ ×§×¨×™×¤×ک×•","True","True","False","2"
"user","7516657550","×¨× ×™","False","False","True","1"
"user","6457601170","×™×•×،×™","False","False","True","1"
"channel","1593116258","ًںŒˆ×§×”×™×œ×ھ ''×،×œ×” ×œ×œ×گ ×’×‘×•×œ×•×ھ"" ًںŒ¸","True","True","False","2"
"user","7276870536","34","False","False","True","1"
"user","7431304474","(no title)","False","False","True","1"
"channel","1992580367","Octobits Trading Channel","False","True","False","16"
"user","7216662741","×¨×•×ں","False","False","True","1"
"chat","4560862763","×،×™×’× ×œ×™×‌ ×•×گ×™×ھ×•×ھ×™ ×§×¨×™×¤×ک×•","True","False","False","0"
